TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000045"	"autophagosome assembly"	1.361883849	4.151216578856456	0.04711202363770282	0.8861885934938252	0.44537369	1.5146752826101397	-1.4268029975060752	null
"GO:0000083"	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	2.329130901	3.5046067706419537	0.010627147382269168	0.8669310486119819	0.12690251	-6.65169183992707	3.969898443286963	null
"GO:0001701"	"in utero embryonic development"	1.230103766	4.1314903456949486	0.04501985596839224	0.9017596764693795	0.592366	0.21704942820326822	-6.616742162221107	null
"GO:0001944"	"vasculature development"	2.12949111	4.449293225300861	0.09358874675896951	0.8941910480265824	0.51337969	0.1602982055695219	-6.505126411395265	null
"GO:0060347"	"heart trabecula formation"	2.070338579	2.6693168805661123	0.0015500002128755659	0.909264709928651	0.71251918	null	null	1944
"GO:0002181"	"cytoplasmic translation"	2.115840526	4.5589244643947815	0.12046428693071752	0.92359648243386	0.12729459	5.873869753163987	-1.3153241367945079	null
"GO:0005975"	"carbohydrate metabolic process"	1.282534418	6.220115151808519	5.521546466478484	0.9638466446967929	0.07699028	-9.208711825671548	2.586554657723418	null
"GO:0006027"	"glycosaminoglycan catabolic process"	2.661863887	4.645038899176865	0.14688414034460295	0.8995456117990162	0.00625561	3.10047754583952	-0.657193290170126	null
"GO:0006107"	"oxaloacetate metabolic process"	2.281597618	3.6386888866901237	0.014472212288029154	0.9690333209068623	0.23267937	3.3877811212517446	-6.048280395268079	null
"GO:0006412"	"translation"	1.390084474	6.184402940776566	5.085673767131161	0.8966537733378804	0.57750679	5.424889962889529	-1.4039118302457048	null
"GO:0006470"	"protein dephosphorylation"	1.262679023	5.164537243060306	0.4858252813150601	0.9043024627801316	0.64699371	5.367031771138524	-2.0795203508717695	null
"GO:0006508"	"proteolysis"	1.395252075	6.206468852551757	5.350747086797883	0.9119994684654191	0.28285178	5.303893780052271	-1.2300759139968418	null
"GO:0006581"	"acetylcholine catabolic process"	2.070338579	2.4533183400470375	0.0009413091421540452	0.8278581436800264	0.39645453	0.22547683308510824	0.9659386997757184	null
"GO:0006607"	"NLS-bearing protein import into nucleus"	1.863304721	3.055378331375	0.003775215110759157	0.9422728018139012	0.59044746	4.1683364072501865	4.762566565389783	null
"GO:0006644"	"phospholipid metabolic process"	1.597118332	5.627491824693229	1.410706416921053	0.9309267243233335	0.58348691	4.678239522947591	-4.304400453331543	null
"GO:0006633"	"fatty acid biosynthetic process"	1.464025138	5.349401871396483	0.7436109390366955	0.9323326037605549	0.72253084	null	null	6644
"GO:0006672"	"ceramide metabolic process"	1.878962744	4.401176442169203	0.0837731874709957	0.9272741206414966	0.37831642	4.330270727231935	-3.95575493183698	null
"GO:0006751"	"glutathione catabolic process"	2.070338579	4.247015290531832	0.058740351414983884	0.9379458301741813	0.38776468	1.638193099291124	-0.4913128174506559	null
"GO:0006805"	"xenobiotic metabolic process"	1.330931944	4.227655361923043	0.056179192264953444	0.8385973864100459	0.45435182	-6.701975774570467	-2.0725963866398835	null
"GO:0006821"	"chloride transport"	1.459731809	4.886490725172482	0.2561125888223298	0.9534093506302141	0.2259941	2.842003966948666	4.7505530675736924	null
"GO:0006865"	"amino acid transport"	1.663664929	5.263216955668456	0.6097621009115332	0.9325323872341382	0.59394024	3.4193598420761204	5.080823993516853	null
"GO:0006954"	"inflammatory response"	1.287998655	4.556808882330999	0.11987887912499628	0.8477209012127623	0.55273719	-6.655297280331265	-3.1356581120165563	null
"GO:0006974"	"DNA damage response"	2.281597618	5.89454035330973	2.609069457039582	0.8109386512115039	0.44970093	-6.438449396897133	-2.2057068463252683	null
"GO:0006979"	"response to oxidative stress"	1.28934032	5.23491950292478	0.5712981471310761	0.8430547674848878	0.65068763	-6.591000751662768	-2.7934348121860686	null
"GO:0006986"	"response to unfolded protein"	1.638070084	4.243310948029823	0.058241424307835105	0.8299877001420082	0.52243339	-6.208097028701158	-2.75556854795509	null
"GO:0006997"	"nucleus organization"	1.996397915	4.105714510570921	0.042425435011218544	0.9393592815029044	0.35056162	0.8639306492061491	-2.724788071015296	null
